Issue key,Issue id,Parent id,Epic Name,Epic Link,Labels,Labels,Issue Type,Priority,Summary,Acceptance Criteria,Story Points,Assignee,Status,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Due Date,Created,Updated,Resolved
EFDDH-494,7635969,,,EFDDH-654,EFDDH-BP-MVPREL1,,Story,Low,ARF223: Unit Testing: CAP/xfm_t_APP_CAPILPAU_REFINANCE_PHY.sql,,,jillelam,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,18/07/2024,01/07/2024,27/08/2024,19/07/2024
EFDDH-493,7635968,,,EFDDH-654,EFDDH-BP-MVPREL1,,Story,Low,ARF223: Unit Testing: CAP/xfm_t_APP_CAPILPAU_PURPOSE_EFS_PHY.sql,,,jillelam,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,18/07/2024,01/07/2024,27/08/2024,19/07/2024
EFDDH-492,7635220,,,EFDDH-654,,,Story,High,ARF223: Unit Testing: Sample Testing only,,0,chenc33,Closed,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,,,,01/07/2024,25/11/2024,10/07/2024
EFDDH-491,7629931,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223: Test : XFM_T UT and zero record analysis,,3,dabkea,Closed,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,18/07/2024,28/06/2024,24/07/2024,24/07/2024
EFDDH-490,7629611,,,EFDDH-3,,,Story,High,ARF223: Build : Update DAG dependencies for ARF223,,3,geesalan,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,28/06/2024,09/07/2024,09/07/2024
EFDDH-489,7629601,,,EFDDH-3,,,Story,High,ARF223: Build : Missing LSM DAG  related models ,,3,dabkea,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,28/06/2024,11/07/2024,11/07/2024
EFDDH-488,7625101,,,EFDDH-9,PlatformFDH,,Story,High,Platform: CI - Fix Terraform file for terraform actions ,"As an Engineer, I want IAM 2.1 RBAC solution must be Redesigned Implemented  and Documented using Codefresh as core.",2,manyerel,Story Done,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,,,27/06/2024,05/07/2024,05/07/2024
EFDDH-487,7618520,,,EFDDH-36,EFDDH-BP-MVPREL1,,Story,Low,ARF223:BRS: Identify true source for all REFs so that reference data solution to automate the batch can be established,,5,nagavels,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,18/07/2024,26/06/2024,24/07/2024,24/07/2024
EFDDH-486,7618508,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223: Test : Place holder for DAGs testing for missing models once ready,,3,geesalan,Closed,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,18/07/2024,26/06/2024,22/07/2024,22/07/2024
EFDDH-485,7618504,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223: Test : Place holder for UT - generic test case for schema ,,3,xavierl,Closed,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,18/07/2024,26/06/2024,23/07/2024,23/07/2024
EFDDH-484,7618500,,,EFDDH-3,,,Story,High,ARF223: Build : Missing models in MD sheet out sqls cut,,3,dabkea,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,26/06/2024,10/07/2024,10/07/2024
EFDDH-483,7618489,,,EFDDH-983,EFDDH-BP-MVPREL1,,Story,Low,ARF223: Build : CAP_LNVALTXN Creation of DBT models to stitch  history data,,5,thirunab,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,,,,,,,,,,18/07/2024,26/06/2024,26/09/2024,24/09/2024
EFDDH-482,7617818,,,EFDDH-37,,,Story,High,"ARF223:Misc: 223 - Consolidation -support- for Operational, RR&D, SLAs and NFR",,5,kummarip,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,26/06/2024,11/10/2024,09/07/2024
EFDDH-481,7617780,,,EFDDH-37,,,Story,High,ARF223:Misc: 223 - Setup tickets for UT and results capturing ,,5,kummarip,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,26/06/2024,09/07/2024,09/07/2024
EFDDH-480,7610886,,,EFDDH-9,PlatformFDH,,Story,High,Platform: Linting for Codefresh Factory CI,"As an Engineer, I want IAM 2.1 RBAC solution must be Redesigned Implemented  and Documented using Codefresh as core.",2,manyerel,Story Done,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,,,25/06/2024,04/07/2024,04/07/2024
EFDDH-479,7610391,,,EFDDH-36,,,Story,High,ARF223:BRS: Operation support docs for IT support,,5,nagavels,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,25/06/2024,11/07/2024,11/07/2024
EFDDH-478,7610383,,,EFDDH-36,,,Story,High,ARF223:BRS: SLAs for ARF223 based on on-prem ,,5,nagavels,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,25/06/2024,11/07/2024,11/07/2024
EFDDH-477,7599628,,,EFDDH-3,,,Story,High,ARF223:Build: 223 - check XFM_IN zero count tables,,3,chenc33,Closed,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 5,BP: EFDDH Sprint 6,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,21/06/2024,08/07/2024,08/07/2024
EFDDH-476,7598303,,,EFDDH-36,,,Story,High,ARF223:Sourcing: Export REF Data (PII) from on PREM into csv,,5,nagavels,Closed,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,,,,,,,,,,,,,,,,,,21/06/2024,09/09/2024,09/09/2024
EFDDH-475,7597962,7278082,,,,,Sub Task,Low,check with Bala on whether unassured + history is already done for the 3 tables ,,,jillelam,Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,,21/06/2024,26/06/2024,26/06/2024
EFDDH-474,7597679,,,EFDDH-3,,,Story,High,ARF223: Build - Mapping PIH IFC Views to DGCP Views,,2,jillelam,Story Done,BP: EFDDH Sprint 9,,,,,,,,,,,,,,,,,,,21/06/2024,26/06/2024,26/06/2024
EFDDH-473,7595648,7428805,,,,,Sub Task,Low,Pushing a docker image into artifactory for Fin-TechDocs repo to deploy into K8s,,,raja19,Done,BP: EFDDH Sprint 2,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 5,BP: EFDDH Sprint 6,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,,,,,20/06/2024,17/07/2024,17/07/2024
EFDDH-472,7595643,7428805,,,,,Sub Task,Low,Creating a docker image for the repo to deploy into K8s,,,raja19,Done,BP: EFDDH Sprint 2,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 5,BP: EFDDH Sprint 6,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,,,,,20/06/2024,12/07/2024,12/07/2024
EFDDH-471,7593431,,,EFDDH-3,,,Story,High,ARF223: Build : DAGs creation - part2 - newly added scope,,3,xavierl,Closed,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,,,,,,,,,,,,,,,,,20/06/2024,01/07/2024,26/06/2024
EFDDH-470,7593384,,,EFDDH-37,EFDDH-BP-MVPREL1,,Story,Low,ARF223:BRS: 223 - 41 Data products documentation for requirements,,5,nagavels,Closed,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,,,,,,,,,,,,18/07/2024,20/06/2024,21/08/2024,21/08/2024
EFDDH-469,7593381,,,EFDDH-37,EFDDH-BP-MVPREL1,,Story,Low,ARF223:Sourcing: 223 - ECDM - QR - non prod setup and testing ,,5,thirunab,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,,,,,,,,,,,18/07/2024,20/06/2024,14/08/2024,14/08/2024
EFDDH-468,7593377,,,EFDDH-37,EFDDH-BP-MVPREL1,,Story,Low,ARF223:Test: 223 - TSR scoping and prep,,5,kummarip,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,18/07/2024,20/06/2024,11/10/2024,23/07/2024
EFDDH-467,7593374,,,EFDDH-37,EFDDH-BP-MVPREL1,,Story,Low,ARF223:Misc: 223 - Solution intent updates for release prep,,5,kummarip,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,18/07/2024,20/06/2024,11/10/2024,15/07/2024
EFDDH-466,7592601,,,EFDDH-8,,,Story,Low,DAG CI Automated Checks ,,2,mahajaa4,Story Done,BP: EFDDH Sprint 9,,,,,,,,,,,,,,,,,,,20/06/2024,20/06/2024,20/06/2024
EFDDH-465,7590121,,,EFDDH-3,,,Story,High,ARF223: Build - Mapping DGCP CAP views to IFC Views,,1,jillelam,Story Done,BP: EFDDH Sprint 9,,,,,,,,,,,,,,,,,,,19/06/2024,24/06/2024,24/06/2024
EFDDH-464,7588389,,,EFDDH-3,,,Story,High,ARF223: Build : DAGs creation ,,3,xavierl,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,,,,,,,,,,,,,,,,,19/06/2024,01/07/2024,21/06/2024
EFDDH-463,7588003,,,EFDDH-36,,,Story,High,"ARF223:BRS:  Retention, Retrieval and Disposal document (RR&D) - to be documented",,5,nagavels,Closed,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,19/06/2024,11/07/2024,11/07/2024
EFDDH-462,7587998,,,EFDDH-36,,,Story,High,ARF223:BRS: Non functional requirements for ARF223 ,,5,nagavels,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,19/06/2024,11/07/2024,11/07/2024
EFDDH-461,7587800,,,EFDDH-9,PlatformFDH,,Story,High,Platform: CI for CodefreshFactory Repo,"As an Engineer, I want IAM 2.1 RBAC solution must be Redesigned Implemented  and Documented using Codefresh as core.",2,manyerel,Story Done,BP: EFDDH Sprint 9,,,,,,,,,,,,,,,,,,,19/06/2024,25/06/2024,25/06/2024
EFDDH-460,7587451,,,EFDDH-8,,,Story,Low,Updated Composer DBT Run Script to add the Summary Results ,Local Datasets based on the feature branch must be delete after PR merge .,2,mahajaa4,Story Done,BP: EFDDH Sprint 9,,,,,,,,,,,,,,,,,,,19/06/2024,20/06/2024,20/06/2024
EFDDH-459,7587420,,,EFDDH-8,,,Story,Low,Automation Pipeline : To Delete the Local Datasets after PR merge,Local Datasets based on the feature branch must be delete after PR merge .,2,mahajaa4,Story Done,BP: EFDDH Sprint 9,,,,,,,,,,,,,,,,,,,19/06/2024,19/06/2024,19/06/2024
EFDDH-458,7586351,,,EFDDH-3,,,Story,High,ARF223: Build : Analyse issues of models while .txt to .sql conversion ,,3,dabkea,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,,,,,,,,,,,,,,,,,19/06/2024,01/07/2024,26/06/2024
EFDDH-457,7571933,,,EFDDH-3,,,Story,High,ARF223: Orchestration - DAGs Creation- MJ,,3,jillelam,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,,,,,,,,,,,,,,,,,14/06/2024,19/06/2024,19/06/2024
EFDDH-456,7571315,,,EFDDH-3,,,Story,High,ARF223: Orchestration - DAG Creation,,3,dabkea,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,,,,,,,,,,,,,,,,,14/06/2024,01/07/2024,19/06/2024
EFDDH-455,7567786,,,EFDDH-3,,,Story,High,ARF223: Make changes in related IFC models to refer to the newly loaded REF tables,,1,dabkea,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,,,,,,,,,,,,,,,,,13/06/2024,01/07/2024,18/06/2024
EFDDH-454,7567250,,,EFDDH-1,,,Story,Low,New TechDoc for Developer Documentation ,,1,mahajaa4,Story Done,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,,,,,,,,,,,,,,,,,,13/06/2024,14/06/2024,14/06/2024
EFDDH-453,7564240,,,EFDDH-3,,,Story,High,ARF223:Build: 223 - check SRC_IN and SRC_OUT zero count tables,,3,chenc33,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 5,BP: EFDDH Sprint 6,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,,,,,,,,,,,,,12/06/2024,21/06/2024,19/06/2024
EFDDH-452,7563422,,,EFDDH-3,,,Story,High,ARF223: Build : Load 6 REF CSV Files into GCP,,3,jillelam,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,,,,,,,,,,,,,,,,,12/06/2024,01/07/2024,14/06/2024
EFDDH-451,7563094,,,,EFDDH-BP-MVPREL1,,Story,Low,Misc:Deployment - Release record /MDR updates,"As a RL, need to Create MDR  for platform activation and integration of ARF 223 use case and get all approvals/endorsements for Prod release.",,bvineeth,Story Done,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,,,,,,,,,,,,,,18/07/2024,12/06/2024,19/08/2024,12/08/2024
EFDDH-450,7563081,,,,EFDDH-BP-MVPREL1,,Story,Low,Misc:Deployment - Solution intent updates,"As a RL, need to ensure solution intent is up to date after consultation  with PO, Tech SME, Solution architect and all concerned enablers  .",,bvineeth,Story Done,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,,,,,,,,,,,,,,,18/07/2024,12/06/2024,26/07/2024,26/07/2024
EFDDH-449,7555618,,,EFDDH-11,,,Story,High,Platform: Production - Enable ORG policy to have Private Service Connect connections for Composer,,3,mahajaa4,Story Done,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,,,,,,,,,,,,,,,,,,11/06/2024,14/06/2024,14/06/2024
EFDDH-448,7549181,,,EFDDH-3,,,Story,High,ARF223: Build : Merge changes and UT for identified objects for AD,,3,xavierl,Closed,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,,,,,,,,,,,,,,,,,,07/06/2024,01/07/2024,07/06/2024
EFDDH-447,7549179,,,EFDDH-3,,,Story,High,ARF223: Build : Merge changes and UT for identified objects for LX,,3,xavierl,Closed,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,,,,,,,,,,,,,,,,,,07/06/2024,01/07/2024,12/06/2024
EFDDH-446,7549171,,,EFDDH-3,,,Story,High,ARF223: Build: Merge changes and UT for identified objects for Madhav,,3,jillelam,Closed,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,,,,,,,,,,,,,,,,,07/06/2024,01/07/2024,18/06/2024
EFDDH-445,7549161,,,EFDDH-3,,,Story,High,ARF223: Build: Merge changes and UT for identified objects for PKK,,3,kummarip,Closed,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,,,,,,,,,,,,,,,,,07/06/2024,11/10/2024,20/06/2024
EFDDH-444,7548345,,,EFDDH-3,,,Story,High,CLONE - ARF223: Build : CNF_T Merge Models Creation - MJ,,3,jillelam,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,,,,,,,,,,,,,,,,,,07/06/2024,12/06/2024,12/06/2024
EFDDH-443,7547719,,,EFDDH-3,,,Story,High,ARF223:Framework: 223 - CNF Merge models creation ,,3,dabkea,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 6,BP: EFDDH Sprint 8,,,,,,,,,,,,,,,,07/06/2024,01/07/2024,12/06/2024
EFDDH-442,7544921,,,EFDDH-3,,,Story,High,ARF223: Build : check date format error and lint issues for SRC_IN and IFC,,3,xavierl,Closed,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,,,,,,,,,,,,,,,,,,06/06/2024,01/07/2024,07/06/2024
EFDDH-441,7544723,,,,,,Story,Low,JCF2.0 : Backend Service & User Interface ,,5,mahajaa4,Story Done,BP: EFDDH Sprint 8,,,,,,,,,,,,,,,,,,,06/06/2024,06/06/2024,06/06/2024
EFDDH-440,7544872,7428805,,,PlatformFDH,,Sub Task,Low,Platform: CICD: Test App deployment in K8s using new DNS ,"As an Engineer, I want IAM 2.1 RBAC solution must be Redesigned Implemented  and Documented using Codefresh as core.",,raja19,Done,BP: EFDDH Sprint 2,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 5,BP: EFDDH Sprint 6,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,,,,23/07/2024,06/06/2024,01/10/2024,01/10/2024
EFDDH-439,7543522,,,EFDDH-11,EFDDH-BP-MVPREL1,,Story,Low,Platform: Production - Pre-Release Git Flow for Production ,"# Create Documentation for Pre Release GitFlow
 # CodeFree for active development/fixes
 # Create Release branch out of Develop branch for production.",2,mahajaa4,Closed,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,,,,,,,,,,,,,,,18/07/2024,06/06/2024,10/09/2024,10/09/2024
EFDDH-438,7543502,,,EFDDH-11,EFDDH-BP-MVPREL1,,Story,Low,Platform: Production -Dry Run Plan and Implementation in  Pre- Production environment,"Dry Run Plan and Implementation in  Pre- Production environment
 # Pre Dry Run preparation like Dry Run plan , Like to Like infrastructure creation and Data migration.
 # All the Change Implementation steps must be performed as-is in Pre- Production environment
 # All Testing Scenerio's  must be executed in as-is in Pre- Production environment",4,mahajaa4,Story Done,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,,,,,,,,,,,,,,,18/07/2024,06/06/2024,05/08/2024,05/08/2024
EFDDH-437,7543492,,,EFDDH-11,EFDDH-BP-MVPREL1,,Story,Low,Platform: Production - Create Change Implementation Plan for First Production Release,"Create Change Implementation Plan for First Production Release
 # 
 ## Step By Step Guide must be created
 ## All steps must have owner and date/time with exact instruction listed which should be followed  in production as well.
 ## All Testing scenerio's instructions must be in details.",2,mahajaa4,Story Done,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,18/07/2024,06/06/2024,11/10/2024,23/07/2024
EFDDH-436,7543482,,,EFDDH-11,EFDDH-BP-MVPREL1,,Story,Low,Platform : Production - Create Release Notes for Production for Github Release,"# Create Release Notes in Markdown for Production Github Release , Marking Version as 1.0.0 at the end of release
 #  ",1,mahajaa4,Story Done,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,,,,,,,,,,,,,,,18/07/2024,06/06/2024,31/07/2024,31/07/2024
EFDDH-435,7543472,,,EFDDH-11,,,Story,High,Platform: Production- Verify/Update the required IAM roles for production deployment in GCP Project Repository.,"# Verify/Update the required IAM roles for production deployment in GCP Project Repository.
 # Get Security approval (if updates are required) and merge PR",3,mahajaa4,Story Done,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,,,06/06/2024,28/06/2024,28/06/2024
EFDDH-434,7543239,,,EFDDH-11,DGCP-24.32,,Story,High,Platform - Production- Approval for RegDH Service Account Access to DGCP Prod,# Approval for RegDH Service Account Access to DGCP Prod,2,kuberr,Story Done,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,,,06/06/2024,09/07/2024,09/07/2024
EFDDH-433,7543233,,,EFDDH-11,EFDDH-BP-MVPREL1,,Story,Low,Platform: Production- Create Standard RegDH Topic Message for Deployments,"# Create Standard Topic Message and update pull Subscription for RegDH Deployments

 ## Must have all the required details to run target dags
 ## Must have updated container image details so it can be referred in Dags dynamically
 ##  Must have other details like message id to store and use for subscription in codefresh to close end to end flow from codefresh --> compose --> codefresh
 ## Update the logic to check for specific message id and their status ",4,mahajaa4,Backlog,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,,18/07/2024,06/06/2024,29/08/2024,
EFDDH-432,7543224,,,EFDDH-11,,,Story,Low,Platform : Production - Create and Test the Dag's Dependecies,"# Create and Test the Dag's Required for Production deployment in lower environments
 # Run the DAGs with Pre Prod Data and Test the deployment and orchestration scenerio's",4,mahajaa4,Story Done,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,,,06/06/2024,04/07/2024,04/07/2024
EFDDH-431,7543216,,,EFDDH-11,,,Story,Low,Platform : Production - Manually verify the Production Impersonation Auth Setup/ Update the Service Account & Secret for Production,Verify the Production Impersonation Auth Setup/ Update the Service Account & Secret for Production,1,mahajaa4,Story Done,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,,,06/06/2024,01/07/2024,01/07/2024
EFDDH-430,7543210,,,EFDDH-11,,,Story,Low,Platform : Production - Create Composer Subnet Network via GCP project terraform code,"1. Platform : Production - Create Subnet Network in VPC using the existing production CICR ranges via GCP project terraform code

2. Raise PR request to GCP foundation 

3. Provide any Security Approval (if required)

4. Follow any Change process (if required)",3,mahajaa4,Story Done,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,,06/06/2024,28/06/2024,28/06/2024
EFDDH-429,7543198,,,EFDDH-11,,,Story,Low,Platform : Production CIDR Ranges for Composer Setup,"Get the New Production CIDR  ranges Composer node, pods and services 

*Reference* : https://anzengineering.slack.com/archives/CC84JBRNH/p1708476522681229",2,mahajaa4,Story Done,BP: EFDDH Sprint 8,,,,,,,,,,,,,,,,,,,06/06/2024,06/06/2024,06/06/2024
EFDDH-428,7543193,,,EFDDH-11,,,Story,Low,Platform: Production - Infrastructure AS A Code for Production Services ,"Infrastructure AS A Code for Production Services 
 # Extend the exisiting code base for production environment 
 # Infra Pipeline must have approval steps in codefresh.
 # Infra repository must have support to create Composer, Topics , Subscriptions, bucket etc. in production.",3,mahajaa4,Story Done,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,,,06/06/2024,28/06/2024,28/06/2024
EFDDH-427,7543187,,,EFDDH-11,,,Story,Low,Platform: Production - DAGs Deployment in Production,"DAG Deployment Pipeline for Production With Approvals.
 # DAG Deployment Pipeline must be automated
 # DAG Deployment Pipelines must have approval steps. must behave as Continuous Delivery pipeline.
 # Deployment pipeline must use tag based approach using the existing folder structures and deployment strategy.
 # Deployment pipeline must Dag Validation Steps in lower environment before deploying to Production",3,mahajaa4,Story Done,BP: EFDDH Sprint 9,,,,,,,,,,,,,,,,,,,06/06/2024,19/06/2024,19/06/2024
EFDDH-426,7543183,,,EFDDH-11,,,Story,Low,Platform: Production Readiness - Deployment Pipeline for Production With Approvals,"Deployment Pipeline for Production With Approvals.
 # Deployment Pipeline must be automated
 # Deployment Pipelines must have approval steps. must behave as Continuous Delivery pipeline.
 # Deployment pipeline must use tag based approach using pre built container 
 # Deployment pipeline must be via Composer Dags",4,mahajaa4,Story Done,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,,,,,,,,,,,,,,,,,,06/06/2024,19/06/2024,19/06/2024
EFDDH-425,7539637,,,EFDDH-3,,,Story,High,ARF223:Build: 223 - SRC_OUT - get SRC_OUT sample data per each SRC_OUT view - for the key column and all date columns,,3,chenc33,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 5,BP: EFDDH Sprint 6,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,,,,,,,,,,,,,,05/06/2024,01/07/2024,12/06/2024
EFDDH-424,7539123,,,EFDDH-13,,,Story,Low,Demo  Prep for Showcase,,3,mahajaa4,Story Done,BP: EFDDH Sprint 8,,,,,,,,,,,,,,,,,,,05/06/2024,06/06/2024,06/06/2024
EFDDH-423,7538941,,,EFDDH-3,,,Story,High,ARF223: Build : check date format errors from DGCP SIT to RegDH flow run ,,3,jillelam,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,,,,,,,,,,,,,,,,,,05/06/2024,01/07/2024,07/06/2024
EFDDH-422,7534022,7517953,,,,,Sub Task,Low,Support Merge UPD task,,,jillelam,Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 6,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,,,,,,,,,,,,,,,04/06/2024,07/06/2024,07/06/2024
